2025-06-08 13:31:38,327 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,327 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,327 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,328 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,328 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,328 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,328 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,329 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,329 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,329 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,330 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,330 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,330 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,331 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,331 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,332 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,332 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,334 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,334 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,335 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,335 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,336 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,336 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,336 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,337 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,337 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,338 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,338 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,338 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,339 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,339 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,339 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,339 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,340 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,340 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,340 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,341 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,341 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,342 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,342 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,342 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,342 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,343 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,343 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,343 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,344 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,344 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,344 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,344 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,345 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,345 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,345 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,346 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,346 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,346 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,347 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,347 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,347 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,347 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,348 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,348 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,348 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,349 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,349 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,350 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,350 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,351 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,351 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,351 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,352 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,352 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,352 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,352 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,353 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,353 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,353 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,354 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,354 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,354 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,355 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,355 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,355 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,355 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,356 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,356 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,356 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,357 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,357 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,357 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,358 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,358 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,358 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,359 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,359 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,359 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,360 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,360 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,360 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,361 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,361 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,361 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,362 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,362 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,362 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,363 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,363 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,363 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,364 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,364 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,365 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,365 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,365 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,366 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,366 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,366 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,367 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,367 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,368 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,369 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,370 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,370 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,371 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,371 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,371 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,372 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,403 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,404 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,404 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,404 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,404 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,405 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,405 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,406 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,406 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,406 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,406 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,407 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,407 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,407 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,408 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,408 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,408 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,409 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,409 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,409 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,410 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,410 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,411 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,411 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,411 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,412 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,412 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,412 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,413 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,413 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,414 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,414 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,414 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,414 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,415 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-08 13:31:38,415 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
